suburb,state,latitude,longitude
Cambridge Gardens,NSW,-33.738,150.7207
Werrington,NSW,-33.7592,150.7527
Jordan Springs,NSW,-33.7214,150.7287
Shane Park,NSW,-33.7434,150.7398
Shanes Park,NSW,-33.7033,150.783
Caddens,NSW,-33.7741,150.7413
Claremont Meadows,NSW,-33.7759,150.7519
Ropes Crossing,NSW,-33.7328,150.791
Colyton,NSW,-33.7828,150.7968
St Marys South,NSW,-33.7603,150.7918
St Marys East,NSW,-33.7603,150.7918
St Marys,NSW,-33.7603,150.7918
Oxley Park,NSW,-33.7707,150.795
North St Marys,NSW,-33.7549,150.7844
Plumpton,NSW,-33.7518,150.8369
Colebee,NSW,-33.7277,150.8474
Oakhurst,NSW,-33.7388,150.8384
Hassall Grove,NSW,-33.7335,150.8354
Dean Park,NSW,-33.7354,150.8596
Glendenning,NSW,-33.7483,150.8541
Glendenning Dc,NSW,-33.7393,150.8453
Schofields,NSW,-33.7167,150.8667
Tallawong,NSW,-33.7167,150.8667
Quakers Hill,NSW,-33.7333,150.8833
Acacia Gardens,NSW,-33.7316,150.9164
Nirimba Fields,NSW,-33.7325,150.8998
Eastern Creek,NSW,-33.8063,150.8612
Rooty Hill,NSW,-33.7667,150.8333
Doonside,NSW,-33.7667,150.8667
Bungarribee,NSW,-33.777,150.868
Woodcroft,NSW,-33.7564,150.8807
Glenwood,NSW,-33.7333,150.9328
Stanhope Gardens,NSW,-33.7221,150.926
Parklea,NSW,-33.7244,150.9182
The Ponds,NSW,-33.7023,150.9109
Emerton,NSW,-33.7441,150.8064
Hebersham,NSW,-33.7458,150.8239
Tregear,NSW,-33.7456,150.7929
Willmot,NSW,-33.7253,150.7926
Shalvey,NSW,-33.7269,150.8053
Mount Druitt Village,NSW,-33.746,150.8106
Whalan,NSW,-33.757,150.804
Bidwill,NSW,-33.7301,150.8222
Dharruk,NSW,-33.7481,150.8156
Minchinbury,NSW,-33.7872,150.8296
Mount Druitt,NSW,-33.7667,150.8167
Blackett,NSW,-33.7379,150.8181
Lethbridge Park,NSW,-33.7372,150.8004
Bland,NSW,-33.9833,147.6833
Quandialla,NSW,-34.0124,147.7876
Errowanbang,NSW,-33.5482,149.0437
Carcoar,NSW,-33.6,149.1333
Glenbrook,NSW,-33.7667,150.6167
Lapstone,NSW,-33.7742,150.6357
Mount Riverview,NSW,-33.7307,150.6353
Warrimoo,NSW,-33.7167,150.6
Blaxland East,NSW,-33.7325,150.6118
Blaxland,NSW,-33.75,150.6
Faulconbridge,NSW,-33.7,150.5333
