suburb,state,assigned_region,latitude,longitude
Eden Hills,South Australia,Adelaide - South,-35.0211,138.5957
Eden Valley,,,-34.65,139.1
Edillilie,South Australia,South Australia - Outback,-34.4118,135.7063
Edinburgh,South Australia,Adelaide - North,-34.7462,138.6375
Edinburgh North,South Australia,Adelaide - North,-34.7042,138.663
Edithburgh,,,-35.0846,137.744
Edwardstown,South Australia,Adelaide - South,-35.0795,148.2287
Edwardstown,South Australia,Adelaide - South,-34.9802,138.5694
Eight Mile Creek (SA),,,,
Elizabeth,South Australia,Adelaide - North,-34.72,138.67
Elizabeth Downs,South Australia,Adelaide - North,-34.6998,138.6913
Elizabeth East,South Australia,Adelaide - North,-34.7251,138.6821
Elizabeth Grove,South Australia,Adelaide - North,-34.7353,138.6689
Elizabeth North,South Australia,Adelaide - North,-34.7068,138.6761
Elizabeth Park,South Australia,Adelaide - North,-34.7097,138.686
Elizabeth South,South Australia,Adelaide - North,-34.7318,138.6619
Elizabeth Vale,South Australia,Adelaide - North,-34.7486,138.6682
Elliston,,,-33.6479,134.8889
Elwomple,South Australia,South Australia - South East,-35.2888,139.5467
Emu Bay,,,-35.594,137.5448
Emu Downs,South Australia,Barossa - Yorke - Mid North,-33.9,138.9667
Emu Flat (SA),South Australia,Barossa - Yorke - Mid North,,
Encounter Bay,,,-35.5742,138.6005
Enfield (SA),South Australia,Adelaide - North,,
Erindale,South Australia,Adelaide - Central and Hills,-34.9278,138.6631
Erith,South Australia,Barossa - Yorke - Mid North,-34.2337,138.4012
Erskine (SA),South Australia,Barossa - Yorke - Mid North,,
Ethelton,South Australia,Adelaide - West,-34.8487,138.491
Ettrick (SA),South Australia,South Australia - South East,,
Eudunda,South Australia,Barossa - Yorke - Mid North,-34.177,139.0841
Eurelia,South Australia,Barossa - Yorke - Mid North,-32.55,138.5667
Euromina,South Australia,Barossa - Yorke - Mid North,-33.6252,138.5759
Evandale (SA),South Australia,Adelaide - Central and Hills,,
Evanston,South Australia,Adelaide - North,-34.6166,138.7337
Evanston Gardens,South Australia,Adelaide - North,-34.6232,138.7217
Evanston Park,South Australia,Adelaide - North,-34.6228,138.7412
Evanston South,South Australia,Adelaide - North,-34.6483,138.7178
Everard Central,South Australia,Barossa - Yorke - Mid North,-33.8756,138.3284
Everard Park,,,-34.952,138.5748
Exeter (SA),South Australia,Adelaide - West,,
Eyre,South Australia,Adelaide - North,-34.6685,138.6389
Fairview Park,South Australia,Adelaide - North,-34.8,138.7286
False Bay,,,-32.9698,137.6103
Farina,South Australia,South Australia - Outback,-30.0665,138.2847
Farrell Flat,South Australia,Barossa - Yorke - Mid North,-33.8228,138.8791
Felixstow,,,-34.889,138.647
Ferryden Park,South Australia,Adelaide - West,-34.8662,138.5618
Field,South Australia,South Australia - South East,-35.8224,139.6652
Findon,South Australia,Adelaide - West,-34.9,138.5333
Finniss,South Australia,South Australia - South East,-35.4,138.8167
Firle,South Australia,Adelaide - Central and Hills,-34.9046,138.6532
Fischer,South Australia,Barossa - Yorke - Mid North,-34.5012,138.6212
Fisher (SA),South Australia,South Australia - South East,,
Fisherman Bay,,,-33.5594,137.9429
Fitzroy (SA),,,,
Five Miles,South Australia,South Australia - South East,-34.8666,139.396
Flagstaff Hill,South Australia,Adelaide - South,-35.0486,138.5828
Flaxley,South Australia,Adelaide - Central and Hills,-35.1333,138.8167
Flaxman Valley,,,-34.6111,139.0418
Flinders Chase,,,-35.8836,136.6981
Flinders Park,South Australia,Adelaide - West,-34.9103,138.5432
Flinders Ranges,South Australia,South Australia - Outback,-31.8467,138.3446
Florina Station,South Australia,South Australia - Outback,-32.3144,140.2065
Fords,South Australia,Barossa - Yorke - Mid North,-34.3853,138.8749
Forest Range,South Australia,Adelaide - Central and Hills,-34.928,138.807
Forestville (SA),South Australia,Adelaide - Central and Hills,,
Forreston,,,-34.7814,138.9181
Forster (SA),South Australia,South Australia - South East,,
Foul Bay,,,-35.2223,137.1617
Fountain,South Australia,South Australia - Outback,-34.6,135.6333
Fox,South Australia,South Australia - South East,-37.2405,140.3539
Frahns,South Australia,South Australia - South East,-34.8921,139.3632
Frances,,,-36.7167,140.9667
Franklyn,South Australia,Barossa - Yorke - Mid North,-33.1352,139.0737
Frankton,,,-34.29,139.2054
Frayville,South Australia,South Australia - South East,-34.8586,139.2188
Freeling,,,-34.4541,138.8087
Frewville,South Australia,Adelaide - Central and Hills,-34.9476,138.6306
Frome Downs,,,-32.3144,140.2065
Fulham (SA),South Australia,Adelaide - West,,
Fulham Gardens,South Australia,Adelaide - West,-34.9148,138.5132
Fullarton,South Australia,Adelaide - Central and Hills,-34.951,138.629
Furner,South Australia,South Australia - South East,-37.4167,140.3333
Galga,South Australia,South Australia - South East,-34.6994,139.9646
Gammon Ranges,South Australia,South Australia - Outback,-30.3354,139.1148
Garden Island (SA),,,,
Gawler (SA),South Australia,Adelaide - North,,
Gawler Belt,South Australia,Adelaide - North,-34.5781,138.7276
Gawler East,South Australia,Adelaide - North,-34.5989,138.7632
Gawler Ranges,South Australia,South Australia - Outback,-32.7724,135.048
Gawler River,South Australia,Adelaide - North,-34.6144,138.6564
Gawler South,South Australia,Adelaide - North,-34.6071,138.7445
Gawler West,South Australia,Adelaide - North,-34.6044,138.7325
Gemmells,,,-35.1711,138.9052
Georgetown (SA),South Australia,Barossa - Yorke - Mid North,,
Gepps Cross,South Australia,Adelaide - North,-34.8415,138.5956
Geranium,South Australia,South Australia - South East,-35.3833,140.1667
Geranium Plains,South Australia,Barossa - Yorke - Mid North,-33.9667,139.1667
Gerard,South Australia,South Australia - South East,-34.3153,140.5938
German Creek,South Australia,South Australia - South East,-22.9098,148.5584
German Creek,South Australia,South Australia - South East,-37.829,140.4585
German Flat,South Australia,South Australia - South East,-37.5651,140.2921
Germein Bay,,,-32.8971,138.0098
Gidgealpa,,,-29.7456,138.9461
Gifford Hill,South Australia,South Australia - South East,-35.1567,139.2154
Gilberton (SA),South Australia,Adelaide - Central and Hills,,
Giles Corner,South Australia,Barossa - Yorke - Mid North,-34.223,138.729
Gillentown,South Australia,Barossa - Yorke - Mid North,-33.878,138.6123
Gilles Plains,South Australia,Adelaide - North,-34.85,138.65
Gillman,,,-34.8409,138.5282
Gladstone (SA),South Australia,Barossa - Yorke - Mid North,,
Glandore,,,-34.9615,138.5683
Glanville,South Australia,Adelaide - West,-34.8444,138.4904
Glen Osmond,,,-34.9596,138.6487
Glenalta,South Australia,Adelaide - South,-35.0079,138.6259
Glenburnie,,,-37.8394,140.8588
Glencoe (SA),South Australia,South Australia - South East,,
Glendambo,South Australia,South Australia - Outback,-30.9683,135.7502
Glenelg (SA),,,,
Glenelg East,,,-34.9764,138.5296
Glenelg North,,,-34.9679,138.5175
Glenelg South,,,-34.9896,138.5143
Glengowrie,,,-34.9871,138.5367
Glenroy (SA),South Australia,South Australia - South East,,
Glenside,South Australia,Adelaide - Central and Hills,-34.9427,138.6338
Glenunga,South Australia,Adelaide - Central and Hills,-34.9501,138.6384
Globe Derby Park,South Australia,Adelaide - North,-34.7876,138.5898
Glossop,South Australia,South Australia - South East,-34.2769,140.541
Glynde,South Australia,Adelaide - Central and Hills,-34.896,138.6525
Golden Grove,,,-33.8889,151.1965
Golden Grove,,,-34.7833,138.7333
Golden Heights,South Australia,South Australia - South East,-34.1567,139.9075
Gomersal,South Australia,Barossa - Yorke - Mid North,-34.55,138.8833
Good Hope Landing,South Australia,South Australia - South East,-34.1648,140.1758
Goodwood (SA),South Australia,Adelaide - Central and Hills,,
Goolwa,South Australia,South Australia - South East,-35.5016,138.7819
Goolwa Beach,,,-35.5047,138.7732
Goolwa North,South Australia,South Australia - South East,-35.4912,138.8126
Goolwa South,,,-35.5148,138.7813
Gosse,South Australia,South Australia - South East,-35.7568,136.9178
Gould Creek,,,-34.7424,138.7087
Goyder,South Australia,Barossa - Yorke - Mid North,-34.0843,138.2728
Grace Plains,South Australia,Barossa - Yorke - Mid North,-34.3741,138.4922
Grampus,,,-32.3144,140.2065
Grange (SA),,,,
Green Fields,South Australia,Adelaide - North,-34.8006,138.6067
Green Hills Range,South Australia,Adelaide - Central and Hills,-35.1619,138.8033
Green Patch,South Australia,South Australia - Outback,-34.4202,135.8125
Greenacres,South Australia,Adelaide - North,-34.8685,138.628
Greenhill (SA),South Australia,Adelaide - Central and Hills,,
Greenock,South Australia,Barossa - Yorke - Mid North,-34.457,138.9272
Greenways,South Australia,South Australia - South East,-37.2327,140.1666
Greenwith,South Australia,Adelaide - North,-34.7657,138.7138
Gulfview Heights,South Australia,Adelaide - North,-34.7955,138.6694
Gulnare,South Australia,Barossa - Yorke - Mid North,-33.4672,138.443
Gum Creek,South Australia,Barossa - Yorke - Mid North,-33.6181,138.9551
Gumeracha,South Australia,Adelaide - Central and Hills,-34.8239,138.8847
Gurra Gurra,South Australia,South Australia - South East,-34.2953,140.6287
Hackham,South Australia,Adelaide - South,-35.1551,138.5251
Hackham West,South Australia,Adelaide - South,-35.1431,138.5144
Hacklins Corner,South Australia,Barossa - Yorke - Mid North,-33.4338,138.6736
Hackney,South Australia,Adelaide - Central and Hills,-34.9139,138.6164
Hahndorf,South Australia,Adelaide - Central and Hills,-35.0286,138.8078
Haines,,,-35.6977,137.3447
Halbury,South Australia,Barossa - Yorke - Mid North,-34.0833,138.5167
Halidon,South Australia,South Australia - South East,-34.8833,140.1667
Hallelujah Hills,South Australia,Barossa - Yorke - Mid North,-33.872,139.0655
Hallett,South Australia,Barossa - Yorke - Mid North,-33.4,138.8833
Hallett Cove,,,-35.0792,138.5146
Hambidge,South Australia,South Australia - Outback,-33.5778,136.2278
Hamilton (SA),South Australia,Barossa - Yorke - Mid North,,
Hamley,South Australia,Barossa - Yorke - Mid North,-34.0848,137.6007
Hamley Bridge,South Australia,Barossa - Yorke - Mid North,-34.3576,138.6807
Hammond,,,-32.5167,138.3167
Hampden (SA),South Australia,Barossa - Yorke - Mid North,,
Hampstead Gardens,South Australia,Adelaide - North,-34.8745,138.6288
Hansborough,South Australia,Barossa - Yorke - Mid North,-34.2572,139.092
Hanson,South Australia,Barossa - Yorke - Mid North,-33.6181,138.9551
Happy Valley (SA),South Australia,Adelaide - South,,
Hardwicke Bay,,,-34.8888,137.458
Hardy,,,-32.8928,138.9218
Harrogate,,,-34.95,139.0167
Hart (SA),South Australia,Barossa - Yorke - Mid North,,
Hartley (SA),South Australia,South Australia - South East,,
Haslam,,,-32.4609,134.2232
Hatherleigh,South Australia,South Australia - South East,-37.5,140.2667
Hawker (SA),South Australia,South Australia - Outback,,
Hawson,South Australia,South Australia - Outback,-34.6887,135.7905
Hawthorn (SA),,,,
Hawthorndene,South Australia,Adelaide - South,-35.0223,138.6304
Hay Flat,South Australia,South Australia - South East,-35.5176,138.2294
Hay Valley,South Australia,Adelaide - Central and Hills,-35.0444,138.954
Hayborough,,,-35.5313,138.6504
Hazelwood Park,South Australia,Adelaide - Central and Hills,-34.9395,138.6588
Heathfield,South Australia,Adelaide - Central and Hills,-35.0283,138.7172
Heathpool,South Australia,Adelaide - Central and Hills,-34.9314,138.6463
Hectorville,South Australia,Adelaide - Central and Hills,-34.8916,138.6589
Hendon (SA),South Australia,Adelaide - West,,
Henley Beach,,,-34.9203,138.4944
Henley Beach South,,,-34.9259,138.4955
Hewett,South Australia,Adelaide - North,-34.578,138.7524
Highbury (SA),,,,
Highgate (SA),,,,
Highland Valley,,,-35.1661,138.919
Hill River (SA),South Australia,Barossa - Yorke - Mid North,,
Hillbank,South Australia,Adelaide - North,-34.7359,138.6872
Hillcrest (SA),South Australia,Adelaide - North,,
Hillier,South Australia,Adelaide - North,-34.623,138.681
Hilltown,South Australia,Barossa - Yorke - Mid North,-33.8205,138.6153
Hilton (SA),South Australia,Adelaide - West,,
Hincks,South Australia,South Australia - Outback,-33.9269,136.4062
Hindmarsh (SA),,,,
Hindmarsh Island,South Australia,South Australia - South East,-35.5101,138.8676
Hindmarsh Tiers,South Australia,South Australia - South East,-35.3889,138.4291
Hindmarsh Valley,South Australia,South Australia - South East,-35.5167,138.6167
Holden Hill,South Australia,Adelaide - North,-34.8516,138.6723
Holder (SA),South Australia,South Australia - South East,,
Holder Siding,South Australia,South Australia - South East,-34.1893,140.0862
Honiton,,,-35.1122,137.6448
Hope Forest,,,-35.2833,138.6167
Hope Gap,South Australia,Barossa - Yorke - Mid North,-33.8907,137.9935
Hope Valley (SA),South Australia,Adelaide - North,,
Hornsdale,South Australia,Barossa - Yorke - Mid North,-33.0681,138.5217
Horsnell Gully,South Australia,Adelaide - Central and Hills,-34.9351,138.7044
Hoskin Corner,South Australia,Barossa - Yorke - Mid North,-34.0752,138.3848
Houghton,,,-34.8287,138.7615
Hove,,,-35.0081,138.5212
Hoyleton,South Australia,Barossa - Yorke - Mid North,-34.0333,138.55
Huddleston,South Australia,Barossa - Yorke - Mid North,-33.3126,138.2706
Humbug Scrub,,,-34.7409,138.8116
Huntfield Heights,South Australia,Adelaide - South,-35.1545,138.5142
Hyde Park (SA),South Australia,Adelaide - Central and Hills,,
Hynam,,,-36.95,140.85
Ingle Farm,South Australia,Adelaide - North,-34.8333,138.6333
Inglewood (SA),,,,
Ingomar,South Australia,South Australia - Outback,-28.72,135.3644
Inkerman (SA),South Australia,Barossa - Yorke - Mid North,,
Inkster,South Australia,South Australia - Outback,-32.9247,134.6703
Inman Valley,South Australia,South Australia - South East,-35.4938,138.4563
Innamincka,South Australia,South Australia - Outback,-27.7434,140.7393
Inneston,,,-35.275,136.8917
Iron Knob,South Australia,South Australia - Outback,-32.733,137.151
Ironbank,,,-35.05,138.6833
Ironstone,,,-35.7462,137.9749
Island Beach,,,-35.7975,137.7987
Island Lagoon,South Australia,South Australia - Outback,-35.807,137.8039
Iwantja,South Australia,South Australia - Outback,-22.2019,133.143
Jabuk,South Australia,South Australia - South East,-35.4,140.0667
James Well,,,-34.4873,137.8973
Jamestown,South Australia,Barossa - Yorke - Mid North,-33.2053,138.605
Jamieson (SA),South Australia,South Australia - Outback,,
Jericho (SA),South Australia,Barossa - Yorke - Mid North,,
Jerusalem,South Australia,Barossa - Yorke - Mid North,-33.9764,137.7157
Jervois,South Australia,South Australia - South East,-35.2667,139.4333
Joanna,,,-37.1,140.8333
Johnburgh,South Australia,Barossa - Yorke - Mid North,-32.45,138.7
Joslin,South Australia,Adelaide - Central and Hills,-34.8997,138.6265
Julanka Holdings,South Australia,South Australia - South East,-34.8633,139.4486
Julia,South Australia,Barossa - Yorke - Mid North,-34.1077,139.0204
Jupiter Creek,South Australia,Adelaide - Central and Hills,-35.1379,138.758
Kadina,South Australia,Barossa - Yorke - Mid North,-33.1465,148.2135
Kadina,South Australia,Barossa - Yorke - Mid North,-33.965,137.7163
Kainton,,,-34.1233,137.9028
Kalamurina,,,-27.9167,137.9833
Kalanbi,South Australia,South Australia - Outback,-31.9513,133.6311
Kalangadoo,South Australia,South Australia - South East,-37.5648,140.6992
Kalbeeba,,,-34.625,138.7928
Kaldoonera,South Australia,South Australia - Outback,-32.5839,134.8774
Kalka,South Australia,South Australia - Outback,-23.3538,150.5527
Kalka,South Australia,South Australia - Outback,-22.2019,133.143
Kallora,South Australia,Barossa - Yorke - Mid North,-34.2154,138.3154
Kaltjiti,South Australia,South Australia - Outback,-22.2019,133.143
Kangarilla,,,-35.1488,138.6604
Kangaroo Flat (SA),,,,
Kangaroo Head,,,-35.7199,137.9132
Kangaroo Inn,South Australia,South Australia - South East,-37.3364,140.2272
Kanmantoo,,,-35.0701,139.0127
Kanni,South Australia,South Australia - South East,-34.1893,140.0862
Kanpi,South Australia,South Australia - Outback,-22.2019,133.143
Kanyaka,,,-31.8467,138.3446
Kapinnie,South Australia,South Australia - Outback,-34.138,135.4976
Kappawanta,South Australia,South Australia - Outback,-33.6667,135.3
Kapunda,South Australia,Barossa - Yorke - Mid North,-34.3387,138.9164
Karatta,,,-35.9284,136.8972
Karcultaby,South Australia,South Australia - Outback,-32.7667,134.9667
Karkoo,South Australia,South Australia - Outback,-34.0328,135.7293
Karoonda,South Australia,South Australia - South East,-35.0945,139.8934
Karte,,,-35.0667,140.7
Katarapko,South Australia,South Australia - South East,-34.4424,140.559
Keilira,South Australia,South Australia - South East,-36.7167,140.15
Keith,South Australia,South Australia - South East,-36.0991,140.3531
Kellidie Bay,,,-34.5905,135.4671
Kelly,South Australia,South Australia - Outback,-33.2366,136.481
Kensington (SA),South Australia,Adelaide - Central and Hills,,
Kensington Gardens,South Australia,Adelaide - Central and Hills,-34.9258,138.6615
Kensington Park,South Australia,Adelaide - Central and Hills,-34.9202,138.6543
Kent Town,South Australia,Adelaide - Central and Hills,-34.9216,138.6201
Kenton Valley,South Australia,Adelaide - Central and Hills,-34.8027,138.9014
Kepa,South Australia,South Australia - South East,-35.1647,139.4581
Keppoch,South Australia,South Australia - South East,-36.7,140.5667
Kersbrook,,,-34.7831,138.8509
Keswick,,,-34.9418,138.5746
Keswick Terminal,,,-34.9411,138.5804
Keyneton,,,-34.5542,139.1349
Ki Ki,South Australia,South Australia - South East,-35.5833,139.8
Kiana,,,-34.4202,135.8125
Kidman Park,South Australia,Adelaide - West,-34.9122,138.5269
Kielpa,South Australia,South Australia - Outback,-33.5833,136.2167
Kilburn,,,-34.8597,138.5856
Kilkenny,South Australia,Adelaide - West,-34.8791,138.5529
Kimba,South Australia,South Australia - Outback,-33.1416,136.4187
Kingoonya,South Australia,South Australia - Outback,-30.9172,135.3157
Kings Park (SA),,,,
Kingscote,,,-35.6559,137.6393
Kingsford (SA),,,,
Kingston On Murray,South Australia,South Australia - South East,-34.2189,140.3345
Kingston Park,,,-35.0382,138.5163
Kingston Se,,,-36.8307,139.8522
Kingswood (SA),,,,
Klemzig,,,-34.8793,138.6356
Kohinoor,South Australia,South Australia - South East,-35.7641,137.4724
Kondoolka,South Australia,South Australia - Outback,-32.4474,136.411
Kongal,South Australia,South Australia - South East,-36.3805,140.4671
Kongorong,South Australia,South Australia - South East,-37.9,140.55
Koolgera,South Australia,South Australia - Outback,-32.3815,134.5541
Koolunga,South Australia,Barossa - Yorke - Mid North,-33.5833,138.3333
Koolywurtie,South Australia,Barossa - Yorke - Mid North,-34.65,137.6333
Koonamore,,,-32.3144,140.2065
Koongawa,South Australia,South Australia - Outback,-33.1667,135.8833
Koonibba,South Australia,South Australia - Outback,-31.9044,133.431
Koonoona,South Australia,Barossa - Yorke - Mid North,-33.6181,138.9551
Koonunga,South Australia,Barossa - Yorke - Mid North,-34.3804,138.9902
Koorine,South Australia,South Australia - South East,-37.6109,140.6367
Kooroona,South Australia,Barossa - Yorke - Mid North,-34.0902,137.5998
Koppamurra,,,-36.9554,140.6979
Koppio,South Australia,South Australia - Outback,-34.4167,135.85
Korunye,,,-34.5124,138.5102
Kringin,South Australia,South Australia - South East,-34.9833,140.7833
Krondorf,South Australia,Barossa - Yorke - Mid North,-34.5632,138.9746
Krongart,South Australia,South Australia - South East,-37.5866,140.7035
Kudla,South Australia,Adelaide - North,-34.6423,138.7018
Kuitpo,,,-35.2266,138.6861
Kuitpo Colony,South Australia,South Australia - South East,-35.2876,138.6963
Kulpara,South Australia,Barossa - Yorke - Mid North,-34.0667,138.0333
Kurralta Park,,,-34.9514,138.567
Kyancutta,South Australia,South Australia - Outback,-33.1333,135.5667
Kybunga,South Australia,Barossa - Yorke - Mid North,-33.9316,138.5167
Kybybolite,,,-36.8833,140.9167
Kyeema,South Australia,South Australia - South East,-35.2763,138.6731
Laffer,South Australia,South Australia - South East,-36.1782,140.1509
Lake Albert (SA),South Australia,South Australia - South East,,
Lake Alexandrina,South Australia,South Australia - South East,-35.3704,139.0417
Lake Carlet,South Australia,South Australia - South East,-34.8725,139.5315
Lake Everard,South Australia,South Australia - Outback,-32.4474,136.411
Lake Eyre,South Australia,South Australia - Outback,-28.6187,138.3308
Lake Frome,South Australia,South Australia - Outback,-32.3144,140.2065
Lake Gairdner,South Australia,South Australia - Outback,-32.4474,136.411
Lake Gilles,South Australia,South Australia - Outback,-32.864,137.1598
Lake Macfarlane,South Australia,South Australia - Outback,-32.4474,136.411
Lake Plains,South Australia,South Australia - South East,-35.3704,139.0417
Lake Torrens,South Australia,South Australia - Outback,-33.892,137.903
Lake View,South Australia,Barossa - Yorke - Mid North,-33.6397,138.259
Lameroo,South Australia,South Australia - South East,-35.329,140.5167
Langhorne Creek,South Australia,South Australia - South East,-35.296,139.0359
Langs Landing,South Australia,South Australia - South East,-34.5894,139.5922
Largs Bay,,,-34.8258,138.4862
Largs North,,,-34.8205,138.4924
Laura (SA),South Australia,Barossa - Yorke - Mid North,,
Laura Bay,,,-32.2167,133.8333
Leabrook,South Australia,Adelaide - Central and Hills,-34.9298,138.6586
Leasingham,South Australia,Barossa - Yorke - Mid North,-33.9826,138.6463
Leawood Gardens,,,-34.9741,138.6734
Leigh Creek (SA),South Australia,South Australia - Outback,,
Leigh Creek Station,South Australia,South Australia - Outback,-29.7456,138.9461
Leighton,South Australia,Barossa - Yorke - Mid North,-33.65,138.75
Lenswood,South Australia,Adelaide - Central and Hills,-34.9182,138.8326
Lewiston,,,-34.6045,138.5913
Light Pass,South Australia,Barossa - Yorke - Mid North,-34.4716,139.0229
Lightsview,South Australia,Adelaide - North,-34.8544,138.6176
Lincoln National Park,,,-34.8341,135.856
Linden Park,South Australia,Adelaide - Central and Hills,-34.9435,138.6473
Lindley,,,-33.8919,139.6102
Lindon,,,-29.7456,138.9461
Linwood,South Australia,Barossa - Yorke - Mid North,-34.3603,138.7679
Lipson,,,-34.3014,136.1569
Little Douglas,,,-34.5446,135.3945
Littlehampton,South Australia,Adelaide - Central and Hills,-35.0422,138.8642
Lobethal,South Australia,Adelaide - Central and Hills,-34.9045,138.8748
Lochaber,South Australia,South Australia - South East,-36.8333,140.5167
Lochiel (SA),South Australia,Barossa - Yorke - Mid North,,
Lock,South Australia,South Australia - Outback,-33.568,135.7565
Lockleys,South Australia,Adelaide - West,-34.9259,138.528
Long Flat (SA),South Australia,South Australia - South East,,
Long Plains,South Australia,Barossa - Yorke - Mid North,-34.359,138.3783
Longwood (SA),South Australia,Adelaide - Central and Hills,,
Lonsdale,,,-35.1068,138.4929
Louth Bay,,,-34.5338,135.9057
Loveday,South Australia,South Australia - South East,-34.2833,140.4333
Lowan Vale,South Australia,South Australia - South East,-36.1788,140.6703
Lowbank,South Australia,South Australia - South East,-34.1846,140.0735
Lower Broughton,,,-33.3195,137.9612
Lower Hermitage,,,-34.8125,138.7602
Lower Inman Valley,South Australia,South Australia - South East,-35.516,138.5679
Lower Light,,,-34.5326,138.437
Lower Mitcham,South Australia,Adelaide - South,-34.9773,138.6049
Loxton,South Australia,South Australia - South East,-34.4502,140.5691
Loxton North,South Australia,South Australia - South East,-34.4167,140.6207
Lucindale,South Australia,South Australia - South East,-36.9727,140.3701
Lucky Bay,,,-33.7059,137.0462
Lyndhurst (SA),South Australia,South Australia - Outback,,
Lyndoch,South Australia,Barossa - Yorke - Mid North,-34.6012,138.8909
Lynton,South Australia,Adelaide - South,-34.9973,138.6074
Lyrup,South Australia,South Australia - South East,-34.2579,140.6482
Maaoupe,South Australia,South Australia - South East,-37.286,140.6963
Mabel Creek,South Australia,South Australia - Outback,-28.72,135.3644
Macclesfield (SA),,,,
Macdonald Park,South Australia,Adelaide - North,-34.6584,138.6439
Macgillivray,,,-35.9135,137.4757
Macumba,,,-27.5514,135.4491
Magarey,South Australia,South Australia - South East,-37.5651,140.2921
Magdala,South Australia,Barossa - Yorke - Mid North,-34.4118,138.7103
Maggea,South Australia,South Australia - South East,-34.4833,140.0667
Magill,South Australia,Adelaide - Central and Hills,-34.9091,138.675
Mahanewo,South Australia,South Australia - Outback,-32.4474,136.411
Maitland (SA),South Australia,Barossa - Yorke - Mid North,,
Makin,South Australia,South Australia - South East,-35.9798,140.5169
Malinong,South Australia,South Australia - South East,-35.5206,139.5122
Mallala,South Australia,Barossa - Yorke - Mid North,-34.4374,138.5099
Malpas,South Australia,South Australia - South East,-34.7167,140.6167
Maltee,South Australia,South Australia - Outback,-32.0833,133.9
Malvern (SA),,,,
Mambray Creek,,,-32.8,137.9833
Mangalo,South Australia,South Australia - Outback,-33.5341,136.6208
Manna Hill,South Australia,South Australia - Outback,-32.433,139.9903
Mannanarie,South Australia,Barossa - Yorke - Mid North,-33.0443,138.6185
Manningham,,,-34.8778,138.6221
Mannum,South Australia,South Australia - South East,-34.9153,139.3033
Manoora (SA),South Australia,Barossa - Yorke - Mid North,,
Mansfield Park,South Australia,Adelaide - West,-34.8566,138.5519
Mantung,South Australia,South Australia - South East,-34.6,140.0667
Marama,South Australia,South Australia - South East,-35.1833,140.1833
Marananga,South Australia,Barossa - Yorke - Mid North,-34.4856,138.9398
Marble Hill,South Australia,Adelaide - Central and Hills,-34.9395,138.7371
Marcollat,South Australia,South Australia - South East,-36.9554,140.6979
Marden,,,-34.8957,138.6378
Marino,,,-35.0447,138.5124
Marion,South Australia,Adelaide - South,-35.0042,138.5531
Marion Bay (SA),,,,
Markaranka,,,-34.0254,139.9822
Marks Landing,South Australia,South Australia - South East,-34.5791,139.587
Marla,South Australia,South Australia - Outback,-27.2997,133.6225
Marleston,South Australia,Adelaide - West,-34.9476,138.5596
Marola,South Australia,Barossa - Yorke - Mid North,-33.697,138.4166
Marrabel,South Australia,Barossa - Yorke - Mid North,-34.15,138.8667
Marree,South Australia,South Australia - Outback,-29.6512,138.071
Marryatville,South Australia,Adelaide - Central and Hills,-34.9284,138.646
Maryvale (SA),South Australia,South Australia - Outback,,
Maslin Beach,,,-35.2259,138.4798
Matta Flat,South Australia,Barossa - Yorke - Mid North,-33.9722,137.7074
Maude (SA),,,,
Mawson Lakes,South Australia,Adelaide - North,-34.8159,138.6081
Mayfield (SA),South Australia,Barossa - Yorke - Mid North,,
Maylands (SA),South Australia,Adelaide - Central and Hills,,
McBean Pound,South Australia,South Australia - South East,-34.2879,139.6291
McCallum,South Australia,South Australia - South East,-35.98,140.665
McCracken,,,-35.5358,138.6312
McHarg Creek,South Australia,South Australia - South East,-35.273,138.7361
McLaren Flat,,,-35.2167,138.5833
McLaren Vale,South Australia,Adelaide - South,-35.2189,138.5433
Meadows,South Australia,Adelaide - Central and Hills,-35.1802,138.7625
Medindie,South Australia,Adelaide - Central and Hills,-34.896,138.605
Medindie Gardens,South Australia,Adelaide - Central and Hills,-34.8909,138.6039
Melrose (SA),South Australia,Barossa - Yorke - Mid North,,
Melrose Park (SA),South Australia,Adelaide - South,,
Melton (SA),South Australia,Barossa - Yorke - Mid North,,
Meningie,South Australia,South Australia - South East,-35.6864,139.3401
Meningie East,South Australia,South Australia - South East,-35.8771,139.5136
Meningie West,South Australia,South Australia - South East,-35.8771,139.5136
Menzies (SA),South Australia,South Australia - South East,,
Mercunda,South Australia,South Australia - South East,-34.65,140.0167
Merghiny,South Australia,South Australia - Outback,-32.1167,133.8333
Meribah,,,-34.7034,140.8542
Merriton,South Australia,Barossa - Yorke - Mid North,-33.45,138.15
Middle Beach,,,-34.5987,138.4432
Middle River,,,-35.6833,137.05
Middleback Range,South Australia,South Australia - Outback,-33.0221,137.5127
Middleton (SA),,,,
Midgee (SA),,,,
Mil-Lel,,,-37.76,140.8091
Milang,South Australia,South Australia - South East,-35.4078,138.9712
Mile End,,,-34.9265,138.5703
Mile End South,South Australia,Adelaide - West,-34.9369,138.5739
Milendella,South Australia,South Australia - South East,-34.8167,139.2
Millbrook (SA),South Australia,Adelaide - Central and Hills,,
Millicent,South Australia,South Australia - South East,-37.5939,140.3495
Millswood,South Australia,Adelaide - Central and Hills,-34.955,138.5889
Miltalie,South Australia,South Australia - Outback,-33.5833,136.8333
Mimili,South Australia,South Australia - Outback,-22.2019,133.143
Minbrie,South Australia,South Australia - Outback,-33.5,136.9667
