suburb,state,latitude,longitude,assigned_region
Bungarby,NSW,-36.7052,149.0083,Capital Region
Chakola,NSW,-36.0985,149.1679,Capital Region
Rose Valley,NSW,-34.7235,150.8096,Regional NSW
Cooma North,NSW,-36.1196,149.1551,Regional NSW
Buckenderra,NSW,-36.179,148.7654,Capital Region
Long Plain,NSW,-36.0083,148.7028,Barossa - Yorke - Mid North
Coolringdon,NSW,-36.2833,148.9833,Capital Region
Middle Flat,NSW,-36.2539,149.1781,Capital Region
Glen Fergus,NSW,-36.197,149.2604,Capital Region
Murrumbucca,NSW,-36.0985,149.0512,Capital Region
Springfield,NSW,-33.3433,149.2635,Regional NSW
Arable,NSW,-36.3826,148.9807,Capital Region
Middlingbank,NSW,-36.2115,148.794,Capital Region
Peak View,NSW,-36.1196,149.1551,Capital Region
Rhine Falls,NSW,-36.1916,148.9076,Capital Region
Dairymans Plains,NSW,-36.2247,149.0732,Capital Region
Jerangle,NSW,-35.8667,149.3667,Capital Region
Dry Plain,NSW,-36.1167,148.8667,Capital Region
Coonerang,NSW,-36.1196,149.1551,Regional NSW
Nimmo,NSW,-36.1196,149.1551,Capital Region
Shannons Flat,NSW,-36.1196,149.1551,
Dangelong,NSW,-36.1196,149.1551,Capital Region
Cooma,NSW,-36.2352,149.1241,Regional NSW
Jimenbuen,NSW,-36.7238,148.8598,Capital Region
Countegany,NSW,-36.1833,149.45,Capital Region
Billilingra,NSW,-36.0193,149.1286,Capital Region
Badja,NSW,-36.0727,149.5329,Capital Region
Numeralla,NSW,-36.1667,149.3333,Capital Region
The Brothers,NSW,-36.1196,149.1551,Capital Region
Carlaminda,NSW,-36.2601,149.3051,Capital Region
Maffra,NSW,-36.5318,148.9679,Regional NSW
Tuross,NSW,-36.0533,150.1332,Capital Region
Ironmungy,NSW,-36.5921,148.943,Capital Region
Boco,NSW,-36.6037,149.3151,Capital Region
Winifred,NSW,-36.4682,149.3744,Capital Region
Jincumbilly,NSW,-36.7167,149.2167,Capital Region
Ando,NSW,-36.7167,149.25,Capital Region
Jimcumbilly,NSW,-36.6037,149.3151,Capital Region
Kybeyan,NSW,-36.3485,149.4179,Capital Region
Greenlands,NSW,-36.6037,149.3151,Regional NSW
Steeple Flat,NSW,-36.5485,149.3846,Capital Region
Bocci,NSW,-36.6037,149.3151,Regional NSW
Holts Flat,NSW,-36.6128,149.2711,Capital Region
Glen Allen,NSW,-36.6985,149.3679,Capital Region
Mount Cooper,NSW,-36.665,149.218,
Creewah,NSW,-36.75,149.3667,Capital Region
Nimmitabel,NSW,-36.5119,149.2838,Capital Region
Lords Hill,NSW,-36.9309,149.2131,Capital Region
Nungatta,NSW,-37.2152,149.4012,
Mount Darragh,NSW,-36.8485,149.5179,Capital Region
Cathcart,NSW,-36.8333,149.3667,Regional NSW
Craigie,NSW,-37.0833,149.05,
Bibbenluke,NSW,-36.8134,149.2863,Capital Region
Bombala,NSW,-36.9121,149.2367,Capital Region
Bondi Forest,NSW,-36.8941,149.2132,
Palarang,NSW,-36.8941,149.2132,Capital Region
Quidong,NSW,-36.8941,149.2132,Capital Region
Merriangaah,NSW,-36.8941,149.2132,Capital Region
Gunningrah,NSW,-36.8941,149.2132,Capital Region
Coolumbooka,NSW,-36.8941,149.2132,Capital Region
Bukalong,NSW,-36.7985,149.2012,Capital Region
Rosemeath,NSW,-36.2324,148.6985,Capital Region
Rockton,NSW,-37.1318,149.3179,Capital Region
Paddys Flat,NSW,-36.8941,149.2132,Regional NSW
Cambalong,NSW,-36.881,149.101,Capital Region
Mila,NSW,-37.0485,149.1679,Capital Region
Viewmont,NSW,-30.612,153.0008,Regional NSW
Nambucca Heads,NSW,-30.6432,153.0088,
Hyland Park,NSW,-30.6124,153.0001,Mid North Coast
Valla Beach,NSW,-30.5926,153.0113,
Valla,NSW,-30.5999,152.9829,
Missabotti,NSW,-30.5747,152.8158,
Buckra Bendinni,NSW,-30.6314,152.8089,Mid North Coast
Argents Hill,NSW,-30.609,152.73,Mid North Coast
Bowraville,NSW,-30.65,152.8515,Mid North Coast
Girralong,NSW,-30.5696,152.6554,
Kennaicle Creek,NSW,-30.6244,152.7854,
South Arm,NSW,-30.6888,152.7396,Regional NSW
Tewinga,NSW,-30.6476,152.8968,Mid North Coast
Killiekrankie,NSW,-30.6244,152.7854,
Urunga,NSW,-30.497,153.0142,
Tarkeeth,NSW,-30.497,153.0142,Regional NSW
Bull Plain,NSW,-35.8186,146.3196,Regional NSW
Hopefield,NSW,-35.8824,146.4377,
Ringwood,NSW,-35.8186,146.3196,Regional NSW
Coreen,NSW,-35.7667,146.35,Murray
Coads Tank,NSW,-35.8186,146.3196,Regional NSW
Merton Vale,NSW,-35.8186,146.3196,Ipswich
Corowa,NSW,-35.997,146.3855,
Nyora,NSW,-35.8186,146.3196,Regional NSW
Daysdale,NSW,-35.6436,146.302,Murray
Sanger,NSW,-35.8186,146.3196,Murray
Collendina,NSW,-36.0254,146.2189,
Rennie,NSW,-35.809,146.1362,Murray
Goombargana,NSW,-35.7636,146.5555,Murray
Lowesdale,NSW,-35.8318,146.3512,Murray
Buraja,NSW,-35.8592,146.3689,Regional NSW
Savernake,NSW,-35.7345,146.051,Murray
Balldale,NSW,-35.8466,146.5197,Murray
Oaklands,NSW,-35.5576,146.163,Murray
Redlands,NSW,-35.9239,146.3157,Murray
Mulwala,NSW,-35.9854,146.0053,
Barooga,NSW,-35.906,145.6958,
Lalalty,NSW,-35.9391,145.6422,Murray
Strawberry Hills,NSW,-33.9339,151.1531,Regional NSW
Seven Hills Mc,NSW,-33.7768,151.0215,Regional NSW
Strawberry Hills,NSW,-33.8988,151.2108,Regional NSW
Beaumont Hills,NSW,-33.6999,150.9411,
North Kellyville,NSW,-33.6985,150.9313,Sydney - Baulkham Hills and Hawkesbury
Kellyville Ridge,NSW,-33.7016,150.9179,
Kellyville,NSW,-33.7103,150.951,
Rouse Hill,NSW,-33.6821,150.9154,
Cambridge Park,NSW,-33.7478,150.7221,Sydney - Outer West and Blue Mountains
Llandilo,NSW,-33.7129,150.7465,
Kingswood,NSW,-33.7561,150.7235,Regional NSW
Werrington County,NSW,-33.7465,150.7393,Sydney - Outer West and Blue Mountains
