suburb,state,latitude,longitude,assigned_region
White Top,NSW,-33.2947,145.6129,
Lake Brewster,NSW,-33.2947,145.6129,
Monia Gap,NSW,-33.2947,145.6129,
Roto,NSW,-33.0526,145.4693,
Yenda,NSW,-34.2453,146.2027,
Myall Park,NSW,-34.2453,146.2027,
Mossgiel,NSW,-33.2495,144.5657,
Manara,NSW,-32.4734,143.9423,
Ivanhoe,NSW,-32.9004,144.3015,
Conoble,NSW,-32.9109,144.4566,
Beilpajah,NSW,-32.9109,144.4566,
St Leonards,NSW,-33.8234,151.1984,
Manly,NSW,-33.798,151.2883,
Mooney Mooney,NSW,-33.5243,151.201,
Dangar Island,NSW,-33.5386,151.2415,
Cogra Bay,NSW,-33.5198,151.222,
Bar Point,NSW,-33.5122,151.1622,
Milsons Passage,NSW,-33.5169,151.1774,
Cheero Point,NSW,-33.5096,151.1932,
Brooklyn,NSW,-33.549,151.2249,
Bensville,NSW,-33.4976,151.3808,
Kincumber South,NSW,-33.4866,151.377,
Bouddi,NSW,-33.518,151.3858,
Saratoga,NSW,-33.4756,151.3521,
Davistown,NSW,-33.4856,151.3615,
Copacabana,NSW,-33.4869,151.4359,
Avoca Beach,NSW,-33.4682,151.4339,
Yattalunga,NSW,-33.4804,151.3932,
Macmasters Beach,NSW,-33.4966,151.4221,
Green Point,NSW,-33.444,151.3682,
Kincumber,NSW,-33.4694,151.3966,
Central Coast Mc,NSW,-33.333,151.3853,
Pearl Beach,NSW,-33.5444,151.3034,
Patonga,NSW,-33.5486,151.2719,
Wondabyne,NSW,-33.5009,151.2213,
Horsfield Bay,NSW,-33.4924,151.301,
Phegans Bay,NSW,-33.4878,151.3082,
Woy Woy Bay,NSW,-33.4834,151.312,
Little Wobby,NSW,-33.5454,151.2564,
Blackwall,NSW,-33.5025,151.3279,
Woy Woy,NSW,-33.4843,151.3247,
Koolewong,NSW,-33.465,151.3157,
Box Head,NSW,-33.5308,151.355,
Umina Beach,NSW,-33.5231,151.3132,
St Huberts Island,NSW,-33.4956,151.3462,
Hardys Bay,NSW,-33.5247,151.3617,
Empire Bay,NSW,-33.4939,151.3629,
Booker Bay,NSW,-33.5125,151.3459,
Daleys Point,NSW,-33.4969,151.355,
Killcare,NSW,-33.5167,151.3667,
Killcare Heights,NSW,-33.5239,151.3682,
Wagstaffe,NSW,-33.5236,151.3409,
Pretty Beach,NSW,-33.5167,151.35,
Ettalong Beach,NSW,-33.5106,151.3304,
Palm Grove,NSW,-33.3333,151.3167,
Palmdale,NSW,-33.3333,151.3667,
Wamberal,NSW,-33.4155,151.4456,
Forresters Beach,NSW,-33.407,151.476,
Terrigal,NSW,-33.4482,151.4467,
North Avoca,NSW,-33.4561,151.4351,
Berkeley Vale,NSW,-33.35,151.4333,
The Entrance North,NSW,-33.3357,151.5034,
Magenta,NSW,-33.292,151.5469,
Chittaway Bay,NSW,-33.3277,151.4297,
Chittaway Point,NSW,-33.3236,151.4419,
Bay Village,NSW,-33.3483,151.4732,
Bateau Bay,NSW,-33.3833,151.4667,
Blue Bay,NSW,-33.3541,151.5002,
The Entrance,NSW,-33.3388,151.4978,
Killarney Vale,NSW,-33.3632,151.458,
Long Jetty,NSW,-33.3592,151.4883,
Toowoon Bay,NSW,-33.3581,151.4971,
Shelly Beach,NSW,-33.37,151.4852,
Colongra,NSW,-33.2069,151.5436,
Buff Point,NSW,-33.2229,151.5312,
Halekulani,NSW,-33.2191,151.5525,
Budgewoi Peninsula,NSW,-33.2106,151.5855,
Doyalson,NSW,-33.1963,151.5128,
San Remo,NSW,-33.2147,151.521,
Budgewoi,NSW,-33.2339,151.5541,
Lake Haven,NSW,-33.243,151.5043,
Charmhaven,NSW,-33.2267,151.5028,
Noraville,NSW,-33.2679,151.5535,
Norah Head,NSW,-33.2833,151.5667,
Canton Beach,NSW,-33.2744,151.5461,
Toukley,NSW,-33.2637,151.5384,
Gorokan,NSW,-33.2576,151.5097,
Cedar Creek,NSW,-32.8552,151.2186,
Milsons Arm,NSW,-32.9173,151.1793,
Narone Creek,NSW,-32.9173,151.1793,
Yengo National Park,NSW,-32.9173,151.1793,
Mootai,NSW,-32.9173,151.1793,
Laguna,NSW,-32.9902,151.1346,
Olney,NSW,-32.9173,151.1793,
Moruben,NSW,-32.9173,151.1793,
Cessnock West,NSW,-32.9173,151.1793,
Fernances Crossing,NSW,-33.0602,151.1311,
Yengo,NSW,-32.8931,150.8457,
Kiar,NSW,-33.2012,151.4376,
Kingfisher Shores,NSW,-33.1713,151.557,
Wyongah,NSW,-33.2747,151.489,
Lemon Tree,NSW,-33.1492,151.3635,
